Round;TopicNo;Topic;QuestionDifficulty;QuestionType;Question;Answer;MultimediaId
1;9;Тема9;1;Text;Тема9 - Вопрос1;Тема9 - Вопрос1 - Ответ;
1;9;Тема9;2;Text;Тема9 - Вопрос2;Тема9 - Вопрос2 - Ответ;
1;9;Тема9;3;Text;Тема9 - Вопрос3;Тема9 - Вопрос3 - Ответ;
1;9;Тема9;4;Text;Тема9 - Вопрос4;Тема9 - Вопрос4 - Ответ;
1;9;Тема9;5;Text;Тема9 - Вопрос5;Тема9 - Вопрос5 - Ответ;
1;10;Тема10;1;Text;Тема10 - Вопрос1;Тема10 - Вопрос1 - Ответ;
1;10;Тема10;2;Text;Тема10 - Вопрос2;Тема10 - Вопрос2 - Ответ;
1;10;Тема10;3;Text;Тема10 - Вопрос3;Тема10 - Вопрос3 - Ответ;
1;10;Тема10;4;Text;Тема10 - Вопрос4;Тема10 - Вопрос4 - Ответ;
1;10;Тема10;5;Text;Тема10 - Вопрос5;Тема10 - Вопрос5 - Ответ;
1;11;Тема11;1;Text;Тема11 - Вопрос1;Тема11 - Вопрос1 - Ответ;
1;11;Тема11;2;Text;Тема11 - Вопрос2;Тема11 - Вопрос2 - Ответ;
1;11;Тема11;3;Text;Тема11 - Вопрос3;Тема11 - Вопрос3 - Ответ;
1;11;Тема11;4;Text;Тема11 - Вопрос4;Тема11 - Вопрос4 - Ответ;
1;11;Тема11;5;Text;Тема11 - Вопрос5;Тема11 - Вопрос5 - Ответ;
1;12;Тема12;1;Text;Тема12 - Вопрос1;Тема12 - Вопрос1 - Ответ;
1;12;Тема12;2;Text;Тема12 - Вопрос2;Тема12 - Вопрос2 - Ответ;
1;12;Тема12;3;Text;Тема12 - Вопрос3;Тема12 - Вопрос3 - Ответ;
1;12;Тема12;4;Text;Тема12 - Вопрос4;Тема12 - Вопрос4 - Ответ;
1;12;Тема12;5;Text;Тема12 - Вопрос5;Тема12 - Вопрос5 - Ответ;
1;13;Тема13;1;Text;Тема13 - Вопрос1;Тема13 - Вопрос1 - Ответ;
1;13;Тема13;2;Text;Тема13 - Вопрос2;Тема13 - Вопрос2 - Ответ;
1;13;Тема13;3;Text;Тема13 - Вопрос3;Тема13 - Вопрос3 - Ответ;
1;13;Тема13;4;Text;Тема13 - Вопрос4;Тема13 - Вопрос4 - Ответ;
1;13;Тема13;5;Text;Тема13 - Вопрос5;Тема13 - Вопрос5 - Ответ;
1;14;Тема14;1;Text;Тема14 - Вопрос1;Тема14 - Вопрос1 - Ответ;
1;14;Тема14;2;Text;Тема14 - Вопрос2;Тема14 - Вопрос2 - Ответ;
1;14;Тема14;3;Text;Тема14 - Вопрос3;Тема14 - Вопрос3 - Ответ;
1;14;Тема14;4;Text;Тема14 - Вопрос4;Тема14 - Вопрос4 - Ответ;
1;14;Тема14;5;Text;Тема14 - Вопрос5;Тема14 - Вопрос5 - Ответ;
1;15;Тема15;1;Text;Тема15 - Вопрос1;Тема15 - Вопрос1 - Ответ;
1;15;Тема15;2;Text;Тема15 - Вопрос2;Тема15 - Вопрос2 - Ответ;
1;15;Тема15;3;Text;Тема15 - Вопрос3;Тема15 - Вопрос3 - Ответ;
1;15;Тема15;4;Text;Тема15 - Вопрос4;Тема15 - Вопрос4 - Ответ;
1;15;Тема15;5;Text;Тема15 - Вопрос5;Тема15 - Вопрос5 - Ответ;
1;16;Тема16;1;Text;Тема16 - Вопрос1;Тема16 - Вопрос1 - Ответ;
1;16;Тема16;2;Text;Тема16 - Вопрос2;Тема16 - Вопрос2 - Ответ;
1;16;Тема16;3;Text;Тема16 - Вопрос3;Тема16 - Вопрос3 - Ответ;
1;16;Тема16;4;Text;Тема16 - Вопрос4;Тема16 - Вопрос4 - Ответ;
1;16;Тема16;5;Text;Тема16 - Вопрос5;Тема16 - Вопрос5 - Ответ;
1;17;Тема17;1;Text;Тема17 - Вопрос1;Тема17 - Вопрос1 - Ответ;
1;17;Тема17;2;Text;Тема17 - Вопрос2;Тема17 - Вопрос2 - Ответ;
1;17;Тема17;3;Text;Тема17 - Вопрос3;Тема17 - Вопрос3 - Ответ;
1;17;Тема17;4;Text;Тема17 - Вопрос4;Тема17 - Вопрос4 - Ответ;
1;17;Тема17;5;Text;Тема17 - Вопрос5;Тема17 - Вопрос5 - Ответ;
1;18;Тема18;1;Text;Тема18 - Вопрос1;Тема18 - Вопрос1 - Ответ;
1;18;Тема18;2;Text;Тема18 - Вопрос2;Тема18 - Вопрос2 - Ответ;
1;18;Тема18;3;Text;Тема18 - Вопрос3;Тема18 - Вопрос3 - Ответ;
1;18;Тема18;4;Text;Тема18 - Вопрос4;Тема18 - Вопрос4 - Ответ;
1;18;Тема18;5;Text;Тема18 - Вопрос5;Тема18 - Вопрос5 - Ответ;
